,,,,,,,,,,,,"""=Definitions!$D$3:$D$30""","""=INDIRECT($Mrow number)""","""=INDIRECT($Nrow number)""",,,,
,,,,,,,,,,,,LOV COLUMN 1,LOV COLUMN 2,LOV COLUMN 3,,,,
Material.Code,,GENERIC CODE,"CORRECT 
MATERIAL CODE","Column 2
LOV KEY","Column 3
LOV KEY",COMMENT,KLUBER,"Correct Sonae Code
Kluber",CASTROL,"Correct Sonae Code
Castrol","Other
Manfuacturer","Shape
(Visc Grade for oils)","OILS - Shape Colour
(ID for base oil type)

GREASES - Shape Colour
(ID for diferentiation)","OILS - Background Colour
(Machine Type)

GREASES - Background Colour
(Thickener Type)","UNSPSC
CODE","EOTD
RULE",Hyperlink to tag,
,,,,,,,,,,,,,,,,,,
4110199157,0,OO-100-S(POE),4110199157,OO,OOO,,HOTEMP SUPER CH 2-100,4110199157,,,,Octagon ISO-VG 100,White-Synthetic - POE,Yellow-Other Oils,,,,C:\Users\mjhemswo\Sonae Arauco\Production Consumables - OILS and LUBRICANTS\4110211158 GB-2-ALC-M-680\4110211158 Kluberplex GE 11-680.pdf
4110201892,0,OO-100-S(E)-AW,4110201892,OO,OOO,,,,Tribol CH 1730/100 Spray,4110201892,,Octagon ISO-VG 100,,Yellow-Other Oils,,,,C:\Users\mjhemswo\Sonae Arauco\Production Consumables - OILS and LUBRICANTS\4110199037 OC-46-M-AW\4110199037-Aircol MR 46.pdf
4110196095,0,OO-1000-M,4110199142,OO,OOO,,,,Magna CL 1000,4110199142,,,,,,,,C:\Users\mjhemswo\Sonae Arauco\Production Consumables - OILS and LUBRICANTS\4110201577 GB- 2 3-Li-M-100 -EP\4110201577-Stabyl MO 500.pdf
4110199142,0,OO-1000-M,4110199142,OO,OOO,,,,Magna CL 1000,4110199142,,Egg-Timer ISO-VG 1000,Yellow-Mineral,Yellow-Other Oils,,,,
4110003141,0,OM-ATF32-M,4110199093,OM,OOM,,,,Getriebeoel ATF 55,4110199093,,,,,,,,
4110199093,0,OM-ATF32-M,4110199093,OM,OOM,,,,Getriebeoel ATF 55,4110199093,,Square ISO-VG 32,Red-Mineral,Red-Transmission Oils,,,,C:\Users\mjhemswo\Sonae Arauco\Production Consumables - OILS and LUBRICANTS\4110199141 OT-32-M\4110199141-Perfecto HT 5.pdf
4110199148,0,OM-90-M,4110199148,OM,OOM,,,,,4110199148,,Diamond SAE-VG 90,Red-Mineral,Red-Transmission Oils,,,,C:\Users\mjhemswo\Sonae Arauco\Production Consumables - OILS and LUBRICANTS\4110199153 OO-68-M-EP-WD\4110199153-Magna SW D 68.pdf
4110199155,0,OM-85W-140-M-EP,4110199155,OM,OOM,,,,Axle EPX 85W-140,4110199155,,Tear Drop SAE-VG 140,Gray-Mineral,Red-Transmission Oils,,,,C:\Users\mjhemswo\Sonae Arauco\Production Consumables - OILS and LUBRICANTS\4110201547 OO-68-M\4110201547-D 75.pdf
4110199147,0,OM-80W-M,4110199147,OM,OOM,,,,Agri Trans Plus 80W,4110199147,,Circle SAE-VG 80W,Red-Mineral,Red-Transmission Oils,,,,
4110199154,0,OM-80W-90-M-EP,4110199154,OM,OOM,,,,Axle EPX 80W-90,4110199154,,Diamond SAE-VG 90,Gray-Mineral,Red-Transmission Oils,,,,
